LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Logan Henderson,701656,R,FF,2024,170,0.19,92.6,-1.1,6.1,5.3,-9.1,29.3,-14.8,-9.1,17.4,19.7,-14.8,2240,2.1,1.2,53.7,54.6
AAA,Logan Rinehart,686827,R,FF,2024,62,-0.89,93.4,-2.2,6.3,6.4,-6.4,28.9,-16.1,-6.1,15.7,16.9,-15.6,2396,2.4,1.1,52.6,47.9
AAA,Logan Sawyer,657752,R,FF,2023,56,-8.34,91.4,-1.5,6.4,5.8,-7.4,27.2,-19.0,-7.5,13.4,15.3,-18.8,2068,2.5,1.6,45.9,45.7
AAA,Logan VanWey,701121,R,FF,2024,542,1.72,94.1,-2.5,6.6,5.3,-10.9,28.8,-18.5,-10.3,13.0,16.9,-17.5,2273,2.1,2.0,57.0,52.1
AAA,Logan VanWey,701121,R,SI,2024,133,0.24,93.4,-2.6,6.5,5.2,-14.8,27.2,-26.0,-14.5,5.9,15.9,-25.2,2175,-2.5,-4.4,39.5,37.6
AAA,Logan Workman,694312,R,FF,2024,190,0.48,93.0,-1.7,5.8,6.2,-11.6,30.6,-15.8,-11.5,16.4,20.5,-15.9,2197,1.1,0.9,48.5,61.3
AAA,Lou Trivino,642152,R,SI,2024,28,1.07,94.3,-1.6,6.3,6.1,-15.8,29.8,-22.8,-15.2,8.9,17.6,-21.8,1971,-4.2,-4.8,47.1,44.6
AAA,Louie Varland,686973,R,FF,2023,634,-0.15,94.9,-1.8,6.7,5.5,-9.6,29.9,-16.0,-8.9,14.9,17.8,-14.8,2193,1.4,1.0,52.4,53.6
AAA,Louie Varland,686973,R,FF,2024,498,0.26,95.2,-1.8,6.8,5.6,-8.8,30.2,-15.2,-8.0,15.6,17.8,-13.9,2165,2.3,1.3,57.9,52.9
AAA,Louie Varland,686973,R,SI,2024,84,2.54,93.5,-1.7,6.7,5.5,-15.1,28.8,-21.8,-14.6,10.0,18.2,-20.8,2017,-3.0,-3.7,40.9,40.8
AAA,Louis Head,545343,R,FF,2023,110,-7.53,92.4,-2.1,6.0,5.5,-3.7,29.0,-17.6,-3.8,14.4,15.0,-18.0,2205,4.3,1.8,63.9,57.3
AAA,Luarbert Arias,678215,R,FF,2024,721,0.34,94.3,-0.9,5.9,6.1,-11.6,30.5,-15.5,-11.3,16.3,19.9,-15.1,2293,1.5,1.2,47.7,58.7
AAA,Lucas Erceg,668674,R,FF,2023,30,3.37,96.5,-1.9,6.6,6.2,-11.4,31.6,-15.6,-10.4,15.0,18.2,-14.3,1983,0.6,0.4,48.8,54.8
