LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Reiss Knehr,663753,R,FC,2023,169,4.21,88.3,-2.7,6.7,5.4,2.7,22.8,-27.5,2.9,5.0,5.9,-29.4,2226,4.1,-0.5,55.8,53.8
AAA,Reiss Knehr,663753,R,SL,2022,139,-3.11,80.9,-1.6,6.6,5.6,2.7,20.4,-34.8,3.6,-3.4,5.3,-44.5,2191,-0.2,-0.1,46.3,47.6
AAA,Reiss Knehr,663753,R,SL,2023,38,-0.05,81.1,-2.7,6.7,5.3,7.6,21.4,-36.8,9.8,-5.9,11.3,-46.8,2324,1.5,2.2,48.3,49.8
AAA,Reiss Knehr,663753,R,ST,2022,180,-0.32,80.0,-1.5,6.5,5.5,10.0,21.4,-34.6,13.2,-3.2,13.7,-45.6,2098,2.8,5.9,51.4,37.6
AAA,Reiss Knehr,663753,R,ST,2023,71,-2.66,80.3,-2.7,6.7,5.3,9.8,22.0,-35.7,12.4,-4.6,14.0,-46.5,2380,2.7,4.7,49.5,60.0
AAA,Reiver Sanmartin,665665,L,CH,2024,88,1.24,85.1,-3.1,6.0,5.4,-14.4,23.9,-32.4,-17.2,-0.3,17.2,-38.4,2092,-0.3,-3.8,45.3,41.9
AAA,Reiver Sanmartin,665665,L,SL,2024,77,-0.08,81.8,-3.0,6.0,5.5,4.1,20.9,-31.4,5.2,1.1,5.7,-40.0,2445,0.1,0.2,46.3,55.4
AAA,Reyes Moronta,606625,R,CH,2022,21,0.29,89.1,-1.4,6.5,5.3,-15.5,26.0,-27.8,-16.3,4.7,17.1,-29.7,2034,-2.0,-4.4,39.5,32.4
AAA,Reyes Moronta,606625,R,CH,2023,80,1.97,87.2,-1.4,6.4,5.4,-12.6,23.4,-26.6,-14.0,6.0,15.5,-29.4,1905,-1.6,-2.8,38.4,32.7
AAA,Reyes Moronta,606625,R,SL,2022,67,3.16,82.5,-1.5,6.3,5.2,9.6,22.9,-30.4,12.0,2.3,12.6,-37.9,2494,0.1,5.3,54.8,56.0
AAA,Reyes Moronta,606625,R,SL,2023,299,2.69,80.1,-1.5,6.4,5.3,8.9,20.7,-32.4,11.8,-0.2,11.9,-42.0,2457,0.8,4.7,53.8,55.9
AAA,Reynaldo López,625643,R,SL,2024,25,-6.04,83.5,-2.0,6.4,5.6,4.7,21.8,-34.4,5.6,-2.8,6.9,-41.6,2402,-0.6,-2.5,50.7,53.6
AAA,Rhett Kouba,688763,R,CH,2023,82,-8.26,83.2,-2.0,6.8,5.2,-10.1,22.4,-31.2,-12.1,1.2,12.9,-37.8,1293,-0.4,-2.8,42.1,37.6
AAA,Rhett Kouba,688763,R,CH,2024,107,-1.39,82.5,-1.7,6.9,5.2,-8.9,21.7,-29.8,-10.9,2.9,11.7,-36.3,1257,-0.3,-1.1,38.8,39.4
AAA,Rhett Kouba,688763,R,CU,2023,44,1.11,76.0,-1.8,6.7,5.4,8.5,21.1,-41.1,12.5,-13.2,18.0,-60.0,2383,0.8,0.8,52.1,58.2
AAA,Rhett Kouba,688763,R,CU,2024,66,-3.26,74.3,-1.5,6.8,5.3,8.2,20.4,-40.6,12.6,-13.0,18.4,-62.2,2544,1.2,1.0,51.9,63.0
AAA,Rhett Kouba,688763,R,SL,2024,46,-8.2,82.2,-1.6,6.8,5.2,1.4,21.7,-30.5,1.7,2.0,3.7,-38.4,2153,-0.0,0.6,46.5,45.4
AAA,Rhett Kouba,688763,R,ST,2023,65,-1.69,78.2,-1.9,6.8,5.3,11.7,20.8,-31.2,16.2,1.3,16.6,-43.8,2445,1.1,7.6,50.0,56.6
AAA,Rhett Kouba,688763,R,ST,2024,171,-1.15,79.0,-1.6,6.8,5.2,10.0,20.7,-31.0,13.4,1.6,13.7,-41.5,2312,0.6,6.0,49.5,55.5
AAA,Rhett Lowder,695076,R,SL,2024,27,4.81,85.7,-2.2,6.0,6.0,3.9,23.6,-35.6,4.4,-4.0,6.3,-41.5,2823,-1.1,-1.5,47.3,56.2
AAA,Ricardo Pinto,620982,R,FS,2024,233,-2.7,82.8,-1.4,6.1,6.2,-9.9,22.6,-27.4,-12.4,5.8,14.3,-34.0,1329,-1.6,-2.7,45.0,41.5
AAA,Ricardo Pinto,620982,R,SL,2024,206,0.42,84.4,-1.4,6.2,6.1,0.7,22.4,-28.9,0.8,3.8,4.3,-34.7,2099,2.5,0.6,48.6,35.4
AAA,Ricardo Pinto,620982,R,ST,2024,33,3.33,81.1,-1.6,6.0,6.0,3.7,21.9,-35.0,4.8,-3.6,6.8,-45.4,2176,1.4,1.8,46.9,36.2
AAA,Ricardo Sánchez,645307,L,SL,2022,20,-1.75,84.5,-2.0,6.3,5.7,5.2,24.2,-31.4,6.2,1.0,6.4,-36.6,2350,0.4,-2.0,52.2,51.5
AAA,Ricardo Sánchez,645307,L,SL,2023,25,8.04,82.6,-1.9,6.6,5.7,6.3,24.0,-33.9,7.7,-2.2,7.7,-41.5,2602,0.0,0.4,52.4,63.3
AAA,Richard Bleier,542947,L,FC,2023,62,2.06,86.4,-3.0,6.7,6.0,1.0,22.5,-26.4,1.2,6.4,6.8,-29.3,1991,5.8,1.8,52.1,52.4
AAA,Richard Bleier,542947,L,FC,2024,67,-2.4,84.3,-3.2,6.5,6.0,0.9,22.5,-26.4,1.1,6.7,7.2,-31.4,1977,5.3,0.8,48.4,51.5
AAA,Richard Fitts,690916,R,CH,2024,270,-1.14,86.1,-2.5,6.5,6.0,-7.8,24.2,-26.3,-8.8,6.6,11.6,-29.7,1622,-2.8,-2.6,43.6,41.7
AAA,Richard Fitts,690916,R,FS,2024,47,-0.79,88.2,-2.3,6.5,6.2,-9.8,26.9,-27.2,-10.6,5.5,12.4,-29.6,1028,-2.3,-3.2,49.1,52.6
AAA,Richard Fitts,690916,R,SL,2024,445,4.08,86.7,-2.2,6.5,6.2,4.1,24.5,-30.4,4.6,1.9,5.7,-34.0,2312,0.5,-1.2,50.0,55.2
AAA,Richard Fitts,690916,R,ST,2024,322,-0.84,83.4,-2.2,6.4,6.1,8.9,25.1,-29.0,10.8,3.8,12.2,-35.8,2320,0.0,6.7,45.7,55.4
AAA,Richard Lovelady,663992,L,SL,2023,32,1.66,84.4,-2.9,7.0,5.4,3.7,23.6,-28.6,4.2,4.2,6.9,-33.3,2349,0.9,-0.7,54.4,49.2
AAA,Richard Lovelady,663992,L,SL,2024,158,-0.91,84.6,-2.5,7.0,5.3,3.3,24.7,-28.6,3.8,4.0,6.6,-32.9,2187,-0.2,1.0,56.3,50.8
AAA,Richard Rodríguez,593144,R,SL,2023,216,0.1,79.8,-3.0,6.6,6.1,4.1,21.2,-35.2,5.5,-4.0,7.4,-46.7,2067,3.3,2.3,41.8,49.9
AAA,Ricky Karcher,676689,R,CH,2023,223,1.62,91.0,-2.4,5.9,6.2,-14.3,26.5,-31.0,-15.0,1.3,15.1,-32.3,1903,-1.7,-6.2,48.4,43.4
AAA,Ricky Karcher,676689,R,CH,2024,122,0.61,91.4,-2.2,5.9,6.2,-13.4,25.4,-29.2,-13.5,3.0,14.4,-29.8,1925,-1.7,-4.5,42.7,43.5
